name,barcode,category,expiry_date,brand,price,stock
Galletas Gamesa,750100000706,Snacks,2027-03-29,Gamesa,92.29,115
Té Frío Pepsi,750100000707,Bebidas,2028-03-31,Pepsi,106.38,144
Detergente Ariel,750100000708,Limpieza,2028-10-30,Ariel,38.84,165
Detergente Downy,750100000709,Limpieza,2026-10-13,Downy,37.9,61
Cloro Downy,750100000710,Limpieza,2028-12-18,Downy,51.89,114
Papel Higiénico Dove,750100000711,Higiene,2026-01-28,Dove,58.51,175
Arroz La Costeña,750100000712,Abarrotes,2027-06-15,La Costeña,49.42,191
Arroz Sos,750100000713,Abarrotes,2027-05-25,Sos,75.95,38
Queso Lala,750100000714,Lácteos,2026-10-26,Lala,94.61,177
Mantequilla Alpura,750100000715,Lácteos,2026-08-03,Alpura,45.78,111
Cloro Ariel,750100000716,Limpieza,2028-06-02,Ariel,43.88,106
Agua Mineral Ciel,750100000717,Bebidas,2027-10-05,Ciel,19.6,178
Agua Mineral Del Valle,750100000718,Bebidas,2028-06-01,Del Valle,62.5,286
Azúcar La Costeña,750100000719,Abarrotes,2026-03-02,La Costeña,86.88,273
Cloro Downy,750100000720,Limpieza,2027-10-06,Downy,109.1,205
Refresco Pepsi,750100000721,Bebidas,2028-12-02,Pepsi,47.88,229
Agua Mineral Bonafont,750100000722,Bebidas,2028-10-14,Bonafont,34.86,244
Detergente Downy,750100000723,Limpieza,2026-07-21,Downy,29.15,199
Refresco Ciel,750100000724,Bebidas,2026-08-26,Ciel,15.72,287
Yogurt Nochebuena,750100000725,Lácteos,2028-11-17,Nochebuena,64.48,12
Mantequilla Alpura,750100000726,Lácteos,2027-07-24,Alpura,52.02,228
Arroz Capullo,750100000727,Abarrotes,2028-01-07,Capullo,80.32,269
Arroz Zulka,750100000728,Abarrotes,2027-03-08,Zulka,61.3,170
Azúcar Sos,750100000729,Abarrotes,2026-12-07,Sos,49.29,87
Queso Yoplait,750100000730,Lácteos,2028-06-23,Yoplait,39.36,76
Papel Higiénico Colgate,750100000731,Higiene,2027-04-01,Colgate,16.18,165
Mantequilla Lala,750100000732,Lácteos,2026-06-09,Lala,52.92,59
Jabón Colgate,750100000733,Higiene,2028-01-23,Colgate,37.14,26
Jugo Pepsi,750100000734,Bebidas,2026-06-30,Pepsi,13.25,20
Shampoo Dove,750100000735,Higiene,2028-09-12,Dove,75.23,143
Limpiador Cloralex,750100000736,Limpieza,2027-05-25,Cloralex,61.94,234
Suavizante Cloralex,750100000737,Limpieza,2028-05-26,Cloralex,13.8,138
Galletas Gamesa,750100000738,Snacks,2026-01-09,Gamesa,37.75,114
Cacahuates Ruffles,750100000739,Snacks,2028-12-03,Ruffles,67.89,109
Palomitas Ruffles,750100000740,Snacks,2026-06-07,Ruffles,76.0,106
Aceite Zulka,750100000741,Abarrotes,2026-04-22,Zulka,52.73,195
Cacahuates Gamesa,750100000742,Snacks,2027-02-18,Gamesa,46.85,76
Yogurt Lala,750100000743,Lácteos,2026-12-10,Lala,107.79,26
Refresco Coca-Cola,750100000744,Bebidas,2028-06-01,Coca-Cola,68.39,195
Té Frío Coca-Cola,750100000745,Bebidas,2028-07-14,Coca-Cola,59.3,263
Mantequilla Nochebuena,750100000746,Lácteos,2028-04-04,Nochebuena,80.75,225
Shampoo Regio,750100000747,Higiene,2027-01-15,Regio,84.21,272
Cacahuates Oreo,750100000748,Snacks,2027-02-15,Oreo,98.02,268
Papas Gamesa,750100000749,Snacks,2028-08-15,Gamesa,30.65,91
Frijol Zulka,750100000750,Abarrotes,2026-04-20,Zulka,65.06,88
Yogurt Alpura,750100000751,Lácteos,2027-10-27,Alpura,84.46,35
Azúcar Sos,750100000752,Abarrotes,2027-05-24,Sos,31.66,116
Galletas Ruffles,750100000753,Snacks,2026-03-16,Ruffles,13.78,97
Leche Nochebuena,750100000754,Lácteos,2026-02-02,Nochebuena,103.49,91
Palomitas Sabritas,750100000755,Snacks,2026-07-28,Sabritas,83.83,161
Suavizante Fabuloso,750100000756,Limpieza,2027-01-21,Fabuloso,112.54,91
Frijol Capullo,750100000757,Abarrotes,2027-10-22,Capullo,24.08,195
Frijol La Costeña,750100000758,Abarrotes,2028-10-16,La Costeña,114.75,26
Agua Mineral Ciel,750100000759,Bebidas,2028-11-03,Ciel,68.29,260
Limpiador Cloralex,750100000760,Limpieza,2027-02-22,Cloralex,93.52,265
Cacahuates Gamesa,750100000761,Snacks,2028-08-07,Gamesa,58.65,130
Limpiador Downy,750100000762,Limpieza,2028-10-04,Downy,80.18,244
Jugo Pepsi,750100000763,Bebidas,2027-09-11,Pepsi,86.43,228
Queso Lala,750100000764,Lácteos,2027-11-25,Lala,56.6,185
Galletas Oreo,750100000765,Snacks,2028-12-13,Oreo,96.26,143
Cacahuates Oreo,750100000766,Snacks,2028-07-22,Oreo,114.53,109
Papel Higiénico Colgate,750100000767,Higiene,2028-12-18,Colgate,97.26,222
Arroz Sos,750100000768,Abarrotes,2028-12-06,Sos,68.76,121
Frijol Zulka,750100000769,Abarrotes,2027-08-19,Zulka,72.66,223
Suavizante Ariel,750100000770,Limpieza,2027-01-04,Ariel,70.41,138
Frijol La Costeña,750100000771,Abarrotes,2028-01-28,La Costeña,75.29,166
Mantequilla Yoplait,750100000772,Lácteos,2028-02-11,Yoplait,46.9,264
Azúcar Sos,750100000773,Abarrotes,2028-08-21,Sos,107.04,220
Té Frío Del Valle,750100000774,Bebidas,2026-09-06,Del Valle,23.48,201
Palomitas Oreo,750100000775,Snacks,2027-09-19,Oreo,38.65,224
Papas Ruffles,750100000776,Snacks,2027-10-12,Ruffles,87.65,79
Shampoo Colgate,750100000777,Higiene,2027-04-24,Colgate,19.33,113
Agua Mineral Coca-Cola,750100000778,Bebidas,2028-07-05,Coca-Cola,33.85,219
Shampoo Dove,750100000779,Higiene,2028-02-12,Dove,106.13,69
Leche Alpura,750100000780,Lácteos,2027-07-03,Alpura,30.92,152
Azúcar La Costeña,750100000781,Abarrotes,2028-10-21,La Costeña,57.0,80
Pasta Dental Dove,750100000782,Higiene,2027-07-22,Dove,110.93,77
Palomitas Sabritas,750100000783,Snacks,2028-10-02,Sabritas,89.42,246
Mantequilla Yoplait,750100000784,Lácteos,2026-06-01,Yoplait,98.07,276
Galletas Sabritas,750100000785,Snacks,2028-10-19,Sabritas,102.13,149
Yogurt Yoplait,750100000786,Lácteos,2028-08-03,Yoplait,87.88,128
Shampoo Dove,750100000787,Higiene,2028-01-24,Dove,71.93,112
Té Frío Bonafont,750100000788,Bebidas,2028-01-17,Bonafont,95.66,165
Palomitas Gamesa,750100000789,Snacks,2027-09-03,Gamesa,92.96,161
Cloro Cloralex,750100000790,Limpieza,2027-08-07,Cloralex,31.87,292
Frijol Capullo,750100000791,Abarrotes,2028-01-31,Capullo,78.85,38
Jabón Colgate,750100000792,Higiene,2027-05-09,Colgate,52.75,204
Agua Mineral Del Valle,750100000793,Bebidas,2027-06-17,Del Valle,39.95,61
Refresco Coca-Cola,750100000794,Bebidas,2027-05-01,Coca-Cola,104.33,171
Refresco Del Valle,750100000795,Bebidas,2028-11-30,Del Valle,85.22,223
Cloro Fabuloso,750100000796,Limpieza,2027-08-24,Fabuloso,83.23,55
Azúcar Zulka,750100000797,Abarrotes,2026-11-28,Zulka,64.97,88
Detergente Ariel,750100000798,Limpieza,2027-08-23,Ariel,104.97,151
Cacahuates Gamesa,750100000799,Snacks,2027-08-04,Gamesa,114.18,72
Papas Ruffles,750100000800,Snacks,2026-11-05,Ruffles,31.07,277
Papel Higiénico Oral-B,750100000801,Higiene,2027-05-30,Oral-B,76.01,165
Frijol La Costeña,750100000802,Abarrotes,2028-07-19,La Costeña,76.64,28
Agua Mineral Ciel,750100000803,Bebidas,2026-11-12,Ciel,27.69,152
Refresco Del Valle,750100000804,Bebidas,2026-07-07,Del Valle,71.9,194
Cloro Ariel,750100000805,Limpieza,2028-08-05,Ariel,17.3,164
Papas Gamesa,750100000806,Snacks,2027-08-07,Gamesa,39.73,225
Palomitas Sabritas,750100000807,Snacks,2026-09-09,Sabritas,23.01,43
Suavizante Cloralex,750100000808,Limpieza,2026-04-24,Cloralex,98.36,34
Jabón Oral-B,750100000809,Higiene,2027-10-18,Oral-B,100.61,265
Jabón Oral-B,750100000810,Higiene,2028-11-14,Oral-B,63.24,42
Pasta Dental Colgate,750100000811,Higiene,2026-07-03,Colgate,69.34,155
Té Frío Bonafont,750100000812,Bebidas,2028-07-26,Bonafont,54.68,255
Leche Nochebuena,750100000813,Lácteos,2028-04-17,Nochebuena,90.47,64
Palomitas Sabritas,750100000814,Snacks,2026-09-30,Sabritas,11.57,291
Azúcar Zulka,750100000815,Abarrotes,2027-10-30,Zulka,36.04,199
Detergente Fabuloso,750100000816,Limpieza,2028-06-12,Fabuloso,11.52,110
Aceite Sos,750100000817,Abarrotes,2028-05-14,Sos,70.13,60
Queso Alpura,750100000818,Lácteos,2028-03-12,Alpura,66.6,115
Papas Ruffles,750100000819,Snacks,2028-01-02,Ruffles,56.5,95
Pasta Dental Colgate,750100000820,Higiene,2026-06-07,Colgate,105.25,198
Mantequilla Yoplait,750100000821,Lácteos,2026-04-09,Yoplait,16.52,22
Frijol Zulka,750100000822,Abarrotes,2028-12-30,Zulka,108.83,260
Jugo Bonafont,750100000823,Bebidas,2027-10-19,Bonafont,14.35,123
Yogurt Nochebuena,750100000824,Lácteos,2027-04-07,Nochebuena,36.82,278
Shampoo Colgate,750100000825,Higiene,2027-11-13,Colgate,65.45,290
Queso Yoplait,750100000826,Lácteos,2027-01-28,Yoplait,29.21,208
Jugo Del Valle,750100000827,Bebidas,2028-01-16,Del Valle,117.59,258
Jabón Colgate,750100000828,Higiene,2026-05-15,Colgate,24.71,213
Pasta Dental Dove,750100000829,Higiene,2027-08-26,Dove,119.72,11
Detergente Fabuloso,750100000830,Limpieza,2027-02-17,Fabuloso,64.31,107
Agua Mineral Ciel,750100000831,Bebidas,2027-07-08,Ciel,18.53,20
Suavizante Downy,750100000832,Limpieza,2026-08-04,Downy,114.85,133
Palomitas Ruffles,750100000833,Snacks,2027-09-21,Ruffles,118.01,160
Limpiador Ariel,750100000834,Limpieza,2028-11-24,Ariel,55.8,134
Refresco Bonafont,750100000835,Bebidas,2027-03-19,Bonafont,83.03,249
Frijol Zulka,750100000836,Abarrotes,2028-07-27,Zulka,38.19,116
Limpiador Fabuloso,750100000837,Limpieza,2027-05-17,Fabuloso,57.29,47
Detergente Fabuloso,750100000838,Limpieza,2026-04-23,Fabuloso,44.55,132
Detergente Downy,750100000839,Limpieza,2028-11-25,Downy,105.54,137
Aceite Sos,750100000840,Abarrotes,2026-08-08,Sos,57.28,66
Cacahuates Ruffles,750100000841,Snacks,2027-06-22,Ruffles,36.82,223
Yogurt Alpura,750100000842,Lácteos,2028-03-23,Alpura,95.0,63
Jabón Oral-B,750100000843,Higiene,2028-11-27,Oral-B,99.97,219
Mantequilla Lala,750100000844,Lácteos,2026-07-31,Lala,103.08,190
Mantequilla Lala,750100000845,Lácteos,2027-05-30,Lala,73.03,122
Shampoo Dove,750100000846,Higiene,2027-11-25,Dove,75.18,194
Detergente Fabuloso,750100000847,Limpieza,2028-07-07,Fabuloso,15.47,60
Refresco Ciel,750100000848,Bebidas,2027-07-21,Ciel,59.26,146
Queso Lala,750100000849,Lácteos,2026-10-06,Lala,62.69,141
Shampoo Oral-B,750100000850,Higiene,2026-08-16,Oral-B,17.71,197
Suavizante Cloralex,750100000851,Limpieza,2026-08-22,Cloralex,10.19,102
Palomitas Oreo,750100000852,Snacks,2027-12-11,Oreo,11.79,148
Pasta Dental Colgate,750100000853,Higiene,2028-06-14,Colgate,35.04,113
Galletas Ruffles,750100000854,Snacks,2027-06-05,Ruffles,10.11,215
Aceite Sos,750100000855,Abarrotes,2027-08-07,Sos,107.74,24
Detergente Cloralex,750100000856,Limpieza,2027-08-11,Cloralex,90.19,297
Yogurt Yoplait,750100000857,Lácteos,2027-12-28,Yoplait,62.57,266
Frijol Zulka,750100000858,Abarrotes,2027-01-05,Zulka,55.9,124
Refresco Pepsi,750100000859,Bebidas,2028-04-11,Pepsi,93.95,171
Mantequilla Alpura,750100000860,Lácteos,2028-06-12,Alpura,117.83,184
Cloro Cloralex,750100000861,Limpieza,2027-05-17,Cloralex,43.56,143
Shampoo Dove,750100000862,Higiene,2028-05-28,Dove,79.37,187
Pasta Dental Dove,750100000863,Higiene,2027-05-13,Dove,86.09,242
Detergente Downy,750100000864,Limpieza,2026-10-14,Downy,11.76,77
Shampoo Dove,750100000865,Higiene,2027-11-27,Dove,36.43,137
Té Frío Ciel,750100000866,Bebidas,2027-01-03,Ciel,42.67,177
Galletas Oreo,750100000867,Snacks,2028-03-29,Oreo,119.79,45
Agua Mineral Pepsi,750100000868,Bebidas,2026-10-23,Pepsi,82.02,193
Queso Yoplait,750100000869,Lácteos,2028-03-11,Yoplait,72.61,248
Leche Alpura,750100000870,Lácteos,2028-01-19,Alpura,114.52,72
Yogurt Alpura,750100000871,Lácteos,2028-09-02,Alpura,27.91,244
Queso Alpura,750100000872,Lácteos,2026-10-19,Alpura,67.69,235
Leche Nochebuena,750100000873,Lácteos,2028-08-05,Nochebuena,80.79,246
Cloro Fabuloso,750100000874,Limpieza,2026-08-15,Fabuloso,93.06,124
Papel Higiénico Regio,750100000875,Higiene,2028-06-13,Regio,106.24,88
Galletas Gamesa,750100000876,Snacks,2028-06-18,Gamesa,22.8,71
Queso Alpura,750100000877,Lácteos,2027-02-07,Alpura,24.62,133
Leche Alpura,750100000878,Lácteos,2026-01-10,Alpura,66.53,17
Refresco Del Valle,750100000879,Bebidas,2026-05-03,Del Valle,81.97,283
Suavizante Ariel,750100000880,Limpieza,2028-08-30,Ariel,18.07,93
Papel Higiénico Regio,750100000881,Higiene,2027-08-28,Regio,33.22,130
Té Frío Del Valle,750100000882,Bebidas,2027-04-09,Del Valle,96.93,53
Shampoo Colgate,750100000883,Higiene,2026-09-21,Colgate,107.94,164
Arroz La Costeña,750100000884,Abarrotes,2028-09-10,La Costeña,109.44,117
Galletas Gamesa,750100000885,Snacks,2027-07-05,Gamesa,98.98,24
Palomitas Ruffles,750100000886,Snacks,2026-03-06,Ruffles,68.8,131
Refresco Ciel,750100000887,Bebidas,2026-08-15,Ciel,72.8,263
Shampoo Regio,750100000888,Higiene,2026-12-12,Regio,31.63,104
Pasta Dental Regio,750100000889,Higiene,2026-12-05,Regio,86.1,272
Palomitas Gamesa,750100000890,Snacks,2028-01-10,Gamesa,104.73,173
Pasta Dental Colgate,750100000891,Higiene,2027-01-24,Colgate,83.86,52
Papel Higiénico Colgate,750100000892,Higiene,2026-05-25,Colgate,109.91,35
Mantequilla Alpura,750100000893,Lácteos,2028-03-21,Alpura,72.22,172
Yogurt Alpura,750100000894,Lácteos,2028-10-16,Alpura,93.33,225
Jugo Bonafont,750100000895,Bebidas,2027-10-20,Bonafont,64.37,43
Cacahuates Gamesa,750100000896,Snacks,2026-08-13,Gamesa,101.32,64
Palomitas Sabritas,750100000897,Snacks,2027-04-21,Sabritas,73.82,221
Galletas Sabritas,750100000898,Snacks,2028-09-27,Sabritas,71.61,250
Aceite Zulka,750100000899,Abarrotes,2027-12-26,Zulka,91.5,27
Cloro Fabuloso,750100000900,Limpieza,2027-07-22,Fabuloso,104.3,262
Frijol La Costeña,750100000901,Abarrotes,2027-10-07,La Costeña,66.47,269
Queso Yoplait,750100000902,Lácteos,2027-08-30,Yoplait,93.46,219
Jugo Pepsi,750100000903,Bebidas,2026-02-06,Pepsi,94.19,87
Palomitas Gamesa,750100000904,Snacks,2026-12-15,Gamesa,119.8,292
Cloro Downy,750100000905,Limpieza,2026-07-26,Downy,74.57,14
Té Frío Pepsi,750100000906,Bebidas,2028-03-13,Pepsi,116.88,210
Shampoo Dove,750100000907,Higiene,2028-09-09,Dove,116.68,116
Queso Lala,750100000908,Lácteos,2027-11-20,Lala,109.4,48
Cloro Ariel,750100000909,Limpieza,2028-08-10,Ariel,46.7,172
Cacahuates Sabritas,750100000910,Snacks,2026-07-03,Sabritas,35.59,121
Cloro Downy,750100000911,Limpieza,2027-05-31,Downy,74.81,272
Limpiador Ariel,750100000912,Limpieza,2027-01-31,Ariel,51.03,175
Refresco Bonafont,750100000913,Bebidas,2027-05-13,Bonafont,98.0,259
Refresco Pepsi,750100000914,Bebidas,2027-01-25,Pepsi,20.98,221
Té Frío Del Valle,750100000915,Bebidas,2027-05-16,Del Valle,30.47,169
Papas Sabritas,750100000916,Snacks,2028-08-03,Sabritas,10.0,263
Queso Nochebuena,750100000917,Lácteos,2026-08-21,Nochebuena,37.97,149
Leche Nochebuena,750100000918,Lácteos,2028-05-25,Nochebuena,44.0,176
Refresco Coca-Cola,750100000919,Bebidas,2028-01-26,Coca-Cola,81.63,114
Jabón Oral-B,750100000920,Higiene,2028-05-19,Oral-B,116.42,130
Mantequilla Nochebuena,750100000921,Lácteos,2026-03-30,Nochebuena,31.71,167
Agua Mineral Coca-Cola,750100000922,Bebidas,2026-11-12,Coca-Cola,79.91,142
Té Frío Pepsi,750100000923,Bebidas,2026-02-02,Pepsi,41.72,259
Galletas Ruffles,750100000924,Snacks,2026-04-27,Ruffles,62.16,233
Té Frío Del Valle,750100000925,Bebidas,2026-08-02,Del Valle,75.78,122
Mantequilla Nochebuena,750100000926,Lácteos,2028-04-22,Nochebuena,117.0,200
Frijol La Costeña,750100000927,Abarrotes,2028-11-15,La Costeña,26.72,281
Té Frío Del Valle,750100000928,Bebidas,2026-08-25,Del Valle,22.18,30
Jabón Regio,750100000929,Higiene,2028-07-31,Regio,109.03,128
Detergente Cloralex,750100000930,Limpieza,2027-02-07,Cloralex,56.31,278
Shampoo Dove,750100000931,Higiene,2028-06-19,Dove,33.31,264
Leche Yoplait,750100000932,Lácteos,2026-01-12,Yoplait,40.8,73
Yogurt Alpura,750100000933,Lácteos,2028-01-13,Alpura,66.68,248
Frijol Sos,750100000934,Abarrotes,2028-09-01,Sos,118.44,228
Pasta Dental Dove,750100000935,Higiene,2028-06-22,Dove,15.7,42
Jugo Coca-Cola,750100000936,Bebidas,2026-09-02,Coca-Cola,49.18,248
Detergente Fabuloso,750100000937,Limpieza,2027-07-08,Fabuloso,15.85,251
Papas Ruffles,750100000938,Snacks,2027-12-24,Ruffles,96.14,126
Limpiador Fabuloso,750100000939,Limpieza,2026-07-02,Fabuloso,43.53,180
Frijol Sos,750100000940,Abarrotes,2028-04-23,Sos,100.89,136
Refresco Bonafont,750100000941,Bebidas,2028-01-15,Bonafont,54.5,224
Té Frío Coca-Cola,750100000942,Bebidas,2027-04-25,Coca-Cola,47.35,92
Shampoo Colgate,750100000943,Higiene,2028-12-17,Colgate,83.66,189
Cacahuates Gamesa,750100000944,Snacks,2026-06-24,Gamesa,89.07,88
Jabón Oral-B,750100000945,Higiene,2027-11-21,Oral-B,13.95,115
Suavizante Ariel,750100000946,Limpieza,2027-03-18,Ariel,85.31,21
Refresco Del Valle,750100000947,Bebidas,2026-12-15,Del Valle,75.96,232
Detergente Ariel,750100000948,Limpieza,2027-03-26,Ariel,65.09,154
Té Frío Bonafont,750100000949,Bebidas,2028-08-31,Bonafont,38.44,283
Pasta Dental Oral-B,750100000950,Higiene,2028-02-28,Oral-B,31.89,127
Limpiador Downy,750100000951,Limpieza,2028-10-24,Downy,53.09,150
Jugo Del Valle,750100000952,Bebidas,2027-04-27,Del Valle,18.65,234
Frijol Sos,750100000953,Abarrotes,2026-10-04,Sos,59.6,32
Limpiador Ariel,750100000954,Limpieza,2026-09-01,Ariel,55.2,84
Queso Alpura,750100000955,Lácteos,2027-10-19,Alpura,49.35,286
Shampoo Dove,750100000956,Higiene,2027-01-04,Dove,34.29,55
Queso Yoplait,750100000957,Lácteos,2027-12-09,Yoplait,24.3,77
Jabón Dove,750100000958,Higiene,2028-10-28,Dove,30.56,11
Mantequilla Lala,750100000959,Lácteos,2028-12-02,Lala,42.12,150
Refresco Bonafont,750100000960,Bebidas,2028-11-17,Bonafont,102.67,92
Jugo Pepsi,750100000961,Bebidas,2026-10-28,Pepsi,95.16,73
Agua Mineral Coca-Cola,750100000962,Bebidas,2027-07-20,Coca-Cola,34.27,112
Palomitas Ruffles,750100000963,Snacks,2028-01-29,Ruffles,52.58,39
Cloro Fabuloso,750100000964,Limpieza,2026-05-19,Fabuloso,109.02,251
Leche Yoplait,750100000965,Lácteos,2027-02-26,Yoplait,19.72,205
Mantequilla Lala,750100000966,Lácteos,2028-11-07,Lala,114.66,230
Palomitas Ruffles,750100000967,Snacks,2026-04-29,Ruffles,44.01,15
Cloro Cloralex,750100000968,Limpieza,2027-10-02,Cloralex,87.02,95
Limpiador Cloralex,750100000969,Limpieza,2027-07-09,Cloralex,91.76,274
Shampoo Regio,750100000970,Higiene,2026-06-13,Regio,26.3,114
Frijol La Costeña,750100000971,Abarrotes,2026-07-05,La Costeña,69.64,66
Papas Ruffles,750100000972,Snacks,2026-03-14,Ruffles,49.35,177
Azúcar La Costeña,750100000973,Abarrotes,2026-10-16,La Costeña,12.08,166
Agua Mineral Ciel,750100000974,Bebidas,2028-01-28,Ciel,12.77,252
Pasta Dental Oral-B,750100000975,Higiene,2027-01-13,Oral-B,119.69,41
Mantequilla Lala,750100000976,Lácteos,2026-03-18,Lala,28.33,287
Papel Higiénico Oral-B,750100000977,Higiene,2026-06-12,Oral-B,27.81,100
Palomitas Oreo,750100000978,Snacks,2027-02-11,Oreo,50.19,274
Azúcar Zulka,750100000979,Abarrotes,2028-04-20,Zulka,52.1,99
Queso Nochebuena,750100000980,Lácteos,2026-08-16,Nochebuena,87.5,251
Refresco Coca-Cola,750100000981,Bebidas,2026-02-08,Coca-Cola,18.17,115
Refresco Del Valle,750100000982,Bebidas,2026-12-28,Del Valle,96.53,45
Jabón Dove,750100000983,Higiene,2026-07-16,Dove,48.04,267
Limpiador Downy,750100000984,Limpieza,2027-02-17,Downy,32.58,77
Shampoo Oral-B,750100000985,Higiene,2028-05-08,Oral-B,98.76,186
Yogurt Alpura,750100000986,Lácteos,2027-06-07,Alpura,108.05,103
Cacahuates Oreo,750100000987,Snacks,2027-08-09,Oreo,66.97,26
Cloro Fabuloso,750100000988,Limpieza,2028-09-02,Fabuloso,37.78,57
Aceite Zulka,750100000989,Abarrotes,2028-01-12,Zulka,22.15,53
Jabón Colgate,750100000990,Higiene,2028-06-13,Colgate,115.63,29
Aceite Capullo,750100000991,Abarrotes,2027-02-12,Capullo,12.58,225
Cloro Ariel,750100000992,Limpieza,2027-09-07,Ariel,61.25,150
Mantequilla Yoplait,750100000993,Lácteos,2028-08-26,Yoplait,67.97,257
Frijol Capullo,750100000994,Abarrotes,2027-08-06,Capullo,118.01,199
Queso Alpura,750100000995,Lácteos,2028-06-25,Alpura,61.15,282
Pasta Dental Colgate,750100000996,Higiene,2026-01-15,Colgate,87.05,52
Cloro Cloralex,750100000997,Limpieza,2026-03-26,Cloralex,116.9,22
Frijol La Costeña,750100000998,Abarrotes,2028-08-25,La Costeña,116.41,70
Yogurt Yoplait,750100000999,Lácteos,2028-08-31,Yoplait,76.28,242
Cacahuates Oreo,750100001000,Snacks,2028-03-18,Oreo,100.99,198
